user_id,course_id,rating,title,category,tags,level,meta,age,gender,education_level,interests,skill_level,gender_enc,education_level_enc,skill_level_enc
4,25,4,Big Data Fundamentals,Data Engineering,big-data hadoop spark,Intermediate,Big Data Fundamentals Data Engineering big-data hadoop spark Intermediate,,,,,,,,
5,3,4,Data Science with Python,Data Science,python data analysis machine-learning,Intermediate,Data Science with Python Data Science python data analysis machine-learning Intermediate,,,,,,,,
5,4,5,Machine Learning Basics,AI,machine-learning ai algorithms,Intermediate,Machine Learning Basics AI machine-learning ai algorithms Intermediate,,,,,,,,
5,5,5,Deep Learning Fundamentals,AI,deep-learning neural-networks,Advanced,Deep Learning Fundamentals AI deep-learning neural-networks Advanced,,,,,,,,
5,22,4,TensorFlow for Beginners,AI,tensorflow deep-learning,Intermediate,TensorFlow for Beginners AI tensorflow deep-learning Intermediate,,,,,,,,
5,30,5,Kubernetes for Beginners,DevOps,kubernetes orchestration clusters,Intermediate,Kubernetes for Beginners DevOps kubernetes orchestration clusters Intermediate,,,,,,,,
6,11,5,Advanced Cyber Security,Security,penetration-testing hacking,Advanced,Advanced Cyber Security Security penetration-testing hacking Advanced,,,,,,,,
6,12,4,SQL for Data Analysis,Data Science,sql data-analysis queries,Beginner,SQL for Data Analysis Data Science sql data-analysis queries Beginner,,,,,,,,
6,13,5,Cloud Computing Basics,Cloud,aws cloud basics,Beginner,Cloud Computing Basics Cloud aws cloud basics Beginner,,,,,,,,
6,26,4,Apache Spark with Python,Data Engineering,spark pyspark big-data,Advanced,Apache Spark with Python Data Engineering spark pyspark big-data Advanced,,,,,,,,
6,32,3,C++ Object Oriented Programming,Programming,cpp oops advanced,Intermediate,C++ Object Oriented Programming Programming cpp oops advanced Intermediate,,,,,,,,
7,16,5,Kotlin for Android,Mobile Development,kotlin android mobile-apps,Beginner,Kotlin for Android Mobile Development kotlin android mobile-apps Beginner,,,,,,,,
7,17,4,Android App Development,Mobile Development,android java mobile ui,Intermediate,Android App Development Mobile Development android java mobile ui Intermediate,,,,,,,,
7,18,5,UI/UX Design Principles,Design,design uiux figma wireframes,Beginner,UI/UX Design Principles Design design uiux figma wireframes Beginner,,,,,,,,
7,19,4,Artificial Intelligence Overview,AI,ai basics ml dl concepts,Beginner,Artificial Intelligence Overview AI ai basics ml dl concepts Beginner,,,,,,,,
7,33,3,Java Programming,Programming,java oops backend,Beginner,Java Programming Programming java oops backend Beginner,,,,,,,,
8,21,5,Computer Vision Basics,AI,computer-vision image-processing,Intermediate,Computer Vision Basics AI computer-vision image-processing Intermediate,,,,,,,,
8,22,4,TensorFlow for Beginners,AI,tensorflow deep-learning,Intermediate,TensorFlow for Beginners AI tensorflow deep-learning Intermediate,,,,,,,,
8,24,5,Statistics for Data Science,Data Science,statistics probability data,Beginner,Statistics for Data Science Data Science statistics probability data Beginner,,,,,,,,
8,36,4,Data Visualization with Power BI,Analytics,powerbi visualization dash,Intermediate,Data Visualization with Power BI Analytics powerbi visualization dash Intermediate,,,,,,,,
8,37,5,Tableau for Beginners,Analytics,tableau charts visualization,Beginner,Tableau for Beginners Analytics tableau charts visualization Beginner,,,,,,,,
9,28,5,CI/CD with Jenkins,DevOps,jenkins automation devops,Intermediate,CI/CD with Jenkins DevOps jenkins automation devops Intermediate,,,,,,,,
9,29,4,Docker Essentials,DevOps,docker containers deployment,Intermediate,Docker Essentials DevOps docker containers deployment Intermediate,,,,,,,,
9,30,5,Kubernetes for Beginners,DevOps,kubernetes orchestration clusters,Intermediate,Kubernetes for Beginners DevOps kubernetes orchestration clusters Intermediate,,,,,,,,
9,41,4,SEO Advanced Techniques,Marketing,seo ranking optimization,Advanced,SEO Advanced Techniques Marketing seo ranking optimization Advanced,,,,,,,,
9,43,5,Business Analytics,Analytics,business-analysis data-analytics,Intermediate,Business Analytics Analytics business-analysis data-analytics Intermediate,,,,,,,,
10,44,5,Entrepreneurship Essentials,Business,startup business planning,Beginner,Entrepreneurship Essentials Business startup business planning Beginner,,,,,,,,
10,45,4,Finance for Non-Finance,Business,finance basics accounting,Beginner,Finance for Non-Finance Business finance basics accounting Beginner,,,,,,,,
10,47,5,Project Management with Agile,Management,agile scrum project-management,Intermediate,Project Management with Agile Management agile scrum project-management Intermediate,,,,,,,,
10,48,4,Supply Chain Management,Management,logistics supply-chain operations,Intermediate,Supply Chain Management Management logistics supply-chain operations Intermediate,,,,,,,,
10,50,5,Interview Preparation Guide,Personal Development,interview resume career,Beginner,Interview Preparation Guide Personal Development interview resume career Beginner,,,,,,,,
